CFSSB,119.5,1.09,125,0.964
CFSSB,118.599998,1.092,126,0.973
CFSSB,118.400002,1.092,126,0.974
CFSSB,118.900002,1.089,126,0.972
CFSSB,119.300003,1.091,125,0.966
CFSSB,118.599998,1.098,125,0.966
CFSSB,119.300003,1.095,125,0.962
CFSSB,119.099998,1.089,125,0.969
CFSSB,118.800003,1.09,125,0.97
CFSSB,119.599998,1.091,125,0.962
CFSSB,119.099998,1.085,125,0.973
CFSSB,118.099998,1.09,125,0.976
CFSSB,119.099998,1.089,125,0.968
CFSSB,119.099998,1.088,125,0.969
CFSSB,118.5,1.092,125,0.97
CFSSB,118.800003,1.098,125,0.962
CFSSB,119.5,1.091,125,0.962
CFSSB,118.599998,1.091,125,0.97
CFSSB,118,1.1,125,0.968
CFSSB,119.099998,1.09,125,0.967
CFSSB,119.599998,1.082,125,0.97
CFSSB,119.199997,1.081,125,0.974
CFSSB,118.5,1.084,125,0.977
CFSSB,118.400002,1.091,125,0.974
CFSSB,119.199997,1.087,125,0.97
CFSSB,119.099998,1.089,125,0.968
CFSSB,119.099998,1.09,125,0.967
CFSSB,119,1.085,125,0.972
CFSSB,119.300003,1.08,125,0.973
CFSSB,119.099998,1.08,125,0.976
CFSSB,118.599998,1.081,125,0.98
CFSSB,118.400002,1.086,125,0.977
CFSSB,118.400002,1.086,125,0.976
CFSSB,117.900002,1.087,125,0.977
CFSSB,117.800003,1.089,125,0.976
CFSSB,117.5,1.095,125,0.975
CFSSB,118.099998,1.09,125,0.975
CFSSB,118.800003,1.092,125,0.967
CFSSB,118.400002,1.098,125,0.965
CFSSB,118.699997,1.093,125,0.965
CFSSB,119.099998,1.087,125,0.965
CFSSB,119,1.083,125,0.971
CFSSB,118.900002,1.078,125,0.975
CFSSB,118.099998,1.081,125,0.979
CFSSB,117.699997,1.085,125,0.979
CFSSB,117.699997,1.089,125,0.975
CFSSB,118.099998,1.098,125,0.964
CFSSB,118.900002,1.1,125,0.956
CFSSB,119.400002,1.097,125,0.956
CFSSB,118.699997,1.086,125,0.972
CFSSB,118,1.082,125,0.98
CFSSB,117.099998,1.086,125,0.985
CFSSB,117.900002,1.086,125,0.979
CFSSB,118,1.089,125,0.973
CFSSB,117.699997,1.095,125,0.971
CFSSB,118.699997,1.094,125,0.963
CFSSB,119.599998,1.091,125,0.959
CFSSB,120.099998,1.086,125,0.96
CFSSB,120,1.081,125,0.964
CFSSB,119.599998,1.077,125,0.97
CFSSB,118.900002,1.083,125,0.971
CFSSB,118.199997,1.084,125,0.977
CFSSB,117.699997,1.087,125,0.978
CFSSB,118.199997,1.093,125,0.968
CFSSB,118.099998,1.096,125,0.966
CFSSB,117.699997,1.093,125,0.972
CFSSB,118.099998,1.091,125,0.97
CFSSB,118,1.094,125,0.968
CFSSB,118.400002,1.1,125,0.96
CFSSB,118.199997,1.099,125,0.962
CFSSB,118.300003,1.095,125,0.967
CFSSB,118.699997,1.094,125,0.965
CFSSB,118.900002,1.093,125,0.966
CFSSB,118.099998,1.094,125,0.972
CFSSB,118.300003,1.092,125,0.972
CFSSB,119.099998,1.082,125,0.976
CFSSB,118.400002,1.087,125,0.977
CFSSB,117.599998,1.1,125,0.971
CFSSB,118.099998,1.102,125,0.963
CFSSB,118.699997,1.098,125,0.961
CFSSB,119.099998,1.093,125,0.964
CFSSB,119.099998,1.086,125,0.97
CFSSB,118.900002,1.084,125,0.975
CFSSB,118.5,1.082,125,0.98
CFSSB,117.900002,1.086,125,0.981
CFSSB,117.900002,1.088,125,0.978
CFSSB,118.099998,1.092,125,0.973
CFSSB,118.800003,1.092,125,0.967
CFSSB,119.599998,1.086,125,0.966
CFSSB,119.800003,1.079,125,0.97
CFSSB,118.599998,1.086,125,0.973
CFSSB,117.800003,1.091,125,0.976
CFSSB,117.599998,1.097,125,0.972
CFSSB,117.699997,1.1,125,0.968
CFSSB,119.400002,1.092,125,0.962
CFSSB,120.099998,1.084,125,0.964
CFSSB,119.5,1.079,125,0.974
CFSSB,118.900002,1.082,125,0.977
CFSSB,118.400002,1.09,125,0.975
CFSSB,118.199997,1.096,125,0.97
CFSSB,119,1.089,125,0.969
CFSSB,118.300003,1.087,125,0.977
CFSSB,117.099998,1.091,125,0.983
CFSSB,117.300003,1.095,125,0.978
CFSSB,118.300003,1.094,125,0.969
CFSSB,119.5,1.087,125,0.967
CFSSB,119.199997,1.081,125,0.976
CFSSB,118.300003,1.093,125,0.973
CFSSB,118.699997,1.097,125,0.966
CFSSB,119.099998,1.091,125,0.967
CFSSB,118.300003,1.093,126,0.973
CFSSB,118.900002,1.092,126,0.972
CFSSB,119.099998,1.089,126,0.972
CFSSB,119.400002,1.085,125,0.97
CFSSB,119.900002,1.086,125,0.966
CFSSB,119.599998,1.094,126,0.964
CFSSB,118.900002,1.098,126,0.966
CFSSB,118.099998,1.098,125,0.971
CFSSB,119,1.088,125,0.972
CFSSB,118.800003,1.09,125,0.972
CFSSB,119.300003,1.089,126,0.969
CFSSB,119.300003,1.084,125,0.973
CFSSB,118.599998,1.095,125,0.969
CFSSB,119.099998,1.091,125,0.968
CFSSB,118.599998,1.093,125,0.97
CFSSB,118.099998,1.1,125,0.968
CFSSB,118.900002,1.088,125,0.971
CFSSB,118,1.088,125,0.98
CFSSB,117.699997,1.096,126,0.976
CFSSB,118.599998,1.095,125,0.969
CFSSB,119.400002,1.089,125,0.968
CFSSB,119,1.083,125,0.975
CFSSB,118.099998,1.088,125,0.979
CFSSB,119.300003,1.091,126,0.968
CFSSB,119.300003,1.09,126,0.969
CFSSB,119.099998,1.091,126,0.97
CFSSB,119.5,1.093,126,0.964
CFSSB,119,1.091,126,0.97
CFSSB,118.5,1.09,126,0.975
CFSSB,118.800003,1.096,125,0.967
CFSSB,118.599998,1.099,125,0.965
CFSSB,119.400002,1.089,125,0.966
CFSSB,118.199997,1.09,126,0.978
CFSSB,118.199997,1.09,126,0.978
CFSSB,118.800003,1.086,126,0.977
CFSSB,119.5,1.085,126,0.973
CFSSB,119.300003,1.089,126,0.972
CFSSB,119.199997,1.084,126,0.975
CFSSB,118.800003,1.087,125,0.974
CFSSB,119.300003,1.09,126,0.969
CFSSB,119.5,1.091,126,0.966
CFSSB,118.199997,1.095,126,0.974
CFSSB,118.199997,1.096,126,0.973
CFSSB,118.400002,1.099,126,0.968
CFSSB,118.800003,1.099,126,0.966
CFSSB,118.900002,1.097,126,0.967
CFSSB,119.199997,1.095,126,0.966
CFSSB,118.900002,1.093,126,0.968
CFSSB,119.300003,1.088,126,0.969
CFSSB,118.900002,1.091,125,0.968
CFSSB,118.199997,1.096,125,0.97
CFSSB,118.300003,1.096,125,0.97
CFSSB,118.599998,1.088,125,0.975
CFSSB,118.599998,1.092,126,0.972
CFSSB,119.099998,1.093,126,0.968
CFSSB,119.599998,1.092,126,0.966
CFSSB,119.5,1.094,126,0.964
CFSSB,118.699997,1.098,126,0.969
CFSSB,118.699997,1.091,126,0.975
CFSSB,119.099998,1.091,126,0.971
CFSSB,118.199997,1.1,126,0.969
CFSSB,118.5,1.095,125,0.969
CFSSB,119.800003,1.096,126,0.959
CFSSB,119.599998,1.092,126,0.964
CFSSB,119.5,1.092,125,0.963
CFSSB,119.900002,1.088,125,0.965
CFSSB,120.099998,1.084,126,0.967
CFSSB,119.699997,1.082,126,0.972
CFSSB,119.400002,1.081,126,0.976
CFSSB,119.5,1.091,126,0.966
CFSSB,119.400002,1.091,125,0.966
CFSSB,119.199997,1.09,126,0.968
CFSSB,119.099998,1.091,126,0.97
CFSSB,119.099998,1.092,126,0.968
CFSSB,119.5,1.092,125,0.963
CFSSB,118.400002,1.085,126,0.98
CFSSB,118.400002,1.085,126,0.98
CFSSB,118.900002,1.098,126,0.964
CFSSB,119.300003,1.091,126,0.967
CFSSB,118.900002,1.095,125,0.966
CFSSB,119.400002,1.098,125,0.959
CFSSB,119.5,1.085,126,0.972
CFSSB,119,1.094,126,0.968
CFSSB,119.800003,1.091,126,0.963
CFSSB,118.599998,1.092,125,0.972
CFSSB,117.900002,1.099,125,0.971
CFSSB,118.800003,1.094,126,0.969
CFSSB,119.099998,1.086,126,0.973
CFSSB,118.800003,1.091,126,0.972
CFSSB,118.699997,1.098,126,0.966
CFSSB,118.800003,1.093,126,0.971
CFSSB,119.099998,1.079,125,0.978
CFSSB,117.900002,1.089,125,0.98
CFSSB,117.5,1.096,126,0.978
CFSSB,119.400002,1.093,125,0.964
CFSSB,120.199997,1.086,125,0.962
CFSSB,119.900002,1.082,125,0.968
CFSSB,118.400002,1.087,125,0.977
CFSSB,118.900002,1.096,125,0.965
CFSSB,119,1.093,125,0.968
CFSSB,118.800003,1.081,125,0.977
CFSSB,118.400002,1.087,125,0.976
CFSSB,117.300003,1.092,125,0.98
CFSSB,118.5,1.098,125,0.966
CFSSB,119.599998,1.091,125,0.964
CFSSB,120.199997,1.085,126,0.965
CFSSB,120,1.081,126,0.971
CFSSB,118.900002,1.087,126,0.975
CFSSB,118.599998,1.099,126,0.967
CFSSB,118.800003,1.102,125,0.961
CFSSB,119.099998,1.096,125,0.964
CFSSB,119,1.088,126,0.973
CFSSB,119.199997,1.085,126,0.974
CFSSB,119.199997,1.084,126,0.974
CFSSB,118.400002,1.091,126,0.975
CFSSB,118.400002,1.1,126,0.967
CFSSB,119.400002,1.101,126,0.958
CFSSB,120.099998,1.092,126,0.961
CFSSB,120.5,1.087,126,0.962
CFSSB,120.400002,1.083,126,0.966
CFSSB,119.199997,1.084,126,0.977
CFSSB,118.5,1.086,126,0.981
CFSSB,117.800003,1.096,126,0.978
CFSSB,118.099998,1.101,126,0.971
CFSSB,119.5,1.092,126,0.967
CFSSB,119.699997,1.084,126,0.973
CFSSB,119.400002,1.086,126,0.974
CFSSB,119.199997,1.093,126,0.969
CFSSB,119.599998,1.094,126,0.964
CFSSB,119.800003,1.095,126,0.963
CFSSB,119.300003,1.091,126,0.97
CFSSB,119.5,1.089,126,0.969
CFSSB,118.699997,1.095,126,0.97
CFSSB,118,1.103,126,0.971
CFSSB,118.699997,1.104,126,0.964
CFSSB,119.599998,1.098,126,0.961
CFSSB,119.5,1.09,126,0.969
CFSSB,119.199997,1.087,126,0.974
CFSSB,119.5,1.08,126,0.977
CFSSB,118.5,1.085,126,0.981
CFSSB,118,1.096,126,0.975
CFSSB,118.199997,1.097,126,0.973
CFSSB,117.800003,1.096,126,0.978
CFSSB,118.400002,1.094,126,0.974
CFSSB,118.699997,1.094,126,0.971
CFSSB,119.300003,1.093,126,0.966
CFSSB,119.900002,1.091,125,0.962
CFSSB,119.400002,1.089,126,0.97
CFSSB,119.5,1.09,126,0.969
CFSSB,119.099998,1.088,126,0.974
CFSSB,118.599998,1.089,126,0.974
CFSSB,118.099998,1.095,125,0.973
CFSSB,118.400002,1.095,126,0.972
CFSSB,118.699997,1.091,126,0.974
CFSSB,119.199997,1.09,126,0.97
CFSSB,119.800003,1.089,125,0.964
CFSSB,120,1.088,126,0.965
CFSSB,119.699997,1.094,125,0.961
CFSSB,119.800003,1.091,126,0.964
CFSSB,120.099998,1.086,126,0.965
CFSSB,119.900002,1.084,125,0.968
CFSSB,119.400002,1.081,126,0.976
CFSSB,117.800003,1.088,125,0.981
CFSSB,117.400002,1.092,125,0.981
CFSSB,117.400002,1.094,125,0.978
CFSSB,117.699997,1.096,125,0.974
CFSSB,118.699997,1.095,126,0.969
CFSSB,118.199997,1.102,125,0.965
CFSSB,118.400002,1.102,125,0.961
CFSSB,118.099998,1.1,126,0.969
CFSSB,118.099998,1.099,126,0.97
CFSSB,118.5,1.094,125,0.971
CFSSB,118.599998,1.099,125,0.965
CFSSB,118.599998,1.099,125,0.965
CFSSB,118.199997,1.1,126,0.969
CFSSB,118.099998,1.099,126,0.971
CFSSB,117.699997,1.096,125,0.974
CFSSB,118.199997,1.099,125,0.968
CFSSB,118.300003,1.098,125,0.969
CFSSB,118.199997,1.094,125,0.973
CFSSB,118.099998,1.093,125,0.974
CFSSB,117.900002,1.096,125,0.973
CFSSB,118.099998,1.097,125,0.97
CFSSB,118.400002,1.091,125,0.973
CFSSB,118.5,1.093,125,0.968
CFSSB,118.300003,1.094,125,0.969
CFSSB,117.900002,1.085,125,0.981
CFSSB,118.800003,1.079,125,0.98
CFSSB,119.800003,1.078,126,0.975
CFSSB,120.5,1.083,125,0.963
CFSSB,120.5,1.088,125,0.958
CFSSB,118.699997,1.097,125,0.962
CFSSB,118.099998,1.1,125,0.964
CFSSB,117.800003,1.097,125,0.97
CFSSB,117.199997,1.095,125,0.977
CFSSB,118.099998,1.086,125,0.977
CFSSB,119.199997,1.09,125,0.964
CFSSB,118.300003,1.093,125,0.967
CFSSB,118.300003,1.082,125,0.979
CFSSB,119,1.077,125,0.977
CFSSB,118.199997,1.092,125,0.969
CFSSB,117.599998,1.093,125,0.972
CFSSB,118.300003,1.085,125,0.973
CFSSB,118.400002,1.092,125,0.967
CFSSB,118.199997,1.087,125,0.973
CFSSB,118,1.086,125,0.976
CFSSB,117.900002,1.09,125,0.973
CFSSB,118.599998,1.091,125,0.966
CFSSB,119,1.088,124,0.964
CFSSB,117.900002,1.092,125,0.971
CFSSB,117.599998,1.088,125,0.978
CFSSB,118.400002,1.085,125,0.974
CFSSB,117.699997,1.091,125,0.974
CFSSB,118.199997,1.089,125,0.971
CFSSB,119.199997,1.088,125,0.963
CFSSB,118.199997,1.092,125,0.968
CFSSB,118.400002,1.089,125,0.969
CFSSB,119.400002,1.084,125,0.966
CFSSB,118.099998,1.089,125,0.973
CFSSB,118.199997,1.084,125,0.977
CFSSB,118.400002,1.078,125,0.981
CFSSB,118.199997,1.083,125,0.977
CFSSB,118.199997,1.091,125,0.97
CFSSB,117.800003,1.097,125,0.968
CFSSB,117.900002,1.095,125,0.971
CFSSB,118.099998,1.084,125,0.977
CFSSB,117.900002,1.085,125,0.977
CFSSB,118.5,1.084,125,0.972
CFSSB,118.900002,1.078,125,0.976
CFSSB,118.599998,1.077,125,0.979
CFSSB,119.400002,1.078,125,0.973
CFSSB,119.900002,1.08,125,0.967
CFSSB,119.599998,1.082,125,0.968
CFSSB,119.199997,1.08,125,0.973
CFSSB,118.900002,1.083,125,0.973
CFSSB,118.400002,1.088,125,0.973
CFSSB,117.900002,1.088,125,0.978
CFSSB,118.199997,1.083,125,0.978
CFSSB,118.599998,1.09,125,0.968
CFSSB,118.599998,1.09,125,0.971
CFSSB,119.400002,1.08,125,0.973
CFSSB,119.099998,1.078,125,0.978
CFSSB,119.199997,1.081,125,0.974
CFSSB,119.699997,1.09,125,0.961
CFSSB,119.800003,1.091,125,0.959
CFSSB,119.099998,1.091,125,0.965
CFSSB,118.800003,1.09,125,0.968
CFSSB,117.900002,1.092,125,0.971
CFSSB,117.599998,1.096,125,0.971
CFSSB,119.099998,1.084,125,0.973
CFSSB,118.800003,1.086,125,0.972
CFSSB,117.900002,1.091,125,0.972
CFSSB,118.900002,1.083,125,0.972
CFSSB,119.699997,1.085,125,0.965
CFSSB,118.599998,1.094,125,0.966
CFSSB,118.099998,1.09,125,0.972
CFSSB,118,1.094,125,0.968
CFSSB,118.300003,1.093,125,0.968
CFSSB,118.400002,1.085,125,0.974
CFSSB,118,1.08,125,0.982
CFSSB,118.300003,1.086,125,0.974
CFSSB,118.400002,1.092,125,0.97
CFSSB,118.199997,1.097,125,0.967
CFSSB,118.699997,1.089,125,0.971
CFSSB,119.099998,1.089,125,0.968
CFSSB,119,1.096,125,0.963
CFSSB,117.900002,1.095,125,0.972
CFSSB,117.800003,1.097,125,0.972
CFSSB,117.800003,1.094,125,0.977
CFSSB,118,1.089,125,0.978
CFSSB,118.599998,1.086,125,0.976
CFSSB,118.599998,1.081,125,0.98
CFSSB,118.699997,1.081,125,0.978
CFSSB,120.099998,1.08,125,0.969
CFSSB,119.900002,1.082,125,0.969
CFSSB,119.900002,1.089,125,0.963
CFSSB,120,1.091,125,0.961
CFSSB,118.699997,1.093,125,0.969
CFSSB,119,1.091,125,0.968
CFSSB,118.599998,1.091,125,0.971
CFSSB,117.900002,1.094,125,0.975
CFSSB,118.699997,1.088,125,0.971
CFSSB,119.400002,1.091,125,0.964
CFSSB,119.300003,1.095,125,0.962
CFSSB,118.300003,1.094,125,0.971
CFSSB,118.900002,1.083,125,0.976
CFSSB,119.599998,1.08,125,0.973
CFSSB,118.599998,1.089,125,0.972
CFSSB,118.400002,1.086,125,0.975
CFSSB,118.599998,1.09,125,0.969
CFSSB,118.599998,1.087,125,0.972
CFSSB,118.5,1.079,125,0.98
CFSSB,117.699997,1.088,125,0.977
CFSSB,118.5,1.087,125,0.971
CFSSB,118.800003,1.088,125,0.967
CFSSB,118.400002,1.09,125,0.97
CFSSB,119.400002,1.085,125,0.968
CFSSB,118.900002,1.087,125,0.969
CFSSB,119,1.086,125,0.97
CFSSB,118.699997,1.091,125,0.969
CFSSB,119.5,1.085,125,0.967
CFSSB,119.300003,1.089,125,0.966
CFSSBHW,114.300003,5.864,622,0.93
CFSSBHW,113,7.164,777,0.958
CFSSBHW,112.800003,8.332,932,0.996
CFSSBHW,114,6.979,776,0.977
CFSSBHW,114.800003,5.826,623,0.934
CFSSBHW,115,5.716,621,0.946
CFSSBHW,113.699997,6.141,619,0.887
CFSSBHW,114.599998,6.048,619,0.893
CFSSBHW,114.5,5.712,619,0.947
CFSSBHW,114.699997,4.235,454,0.951
CFSSBHW,114.400002,4.158,454,0.968
CFSSBHW,114.300003,5.504,618,0.984
CFSSBHW,114.900002,5.527,617,0.972
CFSSBHW,115.199997,5.598,617,0.957
CFSSBHW,115.199997,5.679,617,0.943
CFSSBHW,115.099998,5.846,618,0.918
CFSSBHW,114.800003,5.943,618,0.906
CFSSBHW,113.400002,6.119,617,0.889
CFSSBHW,112.900002,5.988,618,0.916
CFSSBHW,113.5,5.736,616,0.95
CFSSBHW,114.300003,5.726,614,0.942
CFSSBHW,113.400002,5.922,616,0.921
CFSSBHW,113.699997,5.851,616,0.929
CFSSBHW,113.900002,6.072,617,0.893
CFSSBHW,114.599998,5.857,618,0.921
CFSSBHW,114.699997,5.792,618,0.931
CFSSBHW,114.199997,5.548,619,0.977
CFSSBHW,113.300003,5.461,618,0.999
CFSSBHW,113.400002,5.444,618,1
CFSSBHW,113.5,5.886,619,0.93
CFSSBHW,112.699997,5.7,619,0.968
CFSSBHW,112.599998,5.4,619,1
CFSSBHW,113,5.593,619,0.981
CFSSBHW,113.099998,5.597,620,0.982
CFSSBHW,113.699997,5.589,620,0.976
CFSSBHW,113.599998,5.605,621,0.976
CFSSBHW,113.5,5.466,621,1
CFSSBHW,113.900002,5.662,620,0.965
CFSSBHW,114.099998,5.67,620,0.961
CFSSBHW,113.800003,5.782,620,0.945
CFSSBHW,113.699997,5.778,621,0.947
CFSSBHW,114.300003,5.611,621,0.968
CFSSBHW,113.699997,5.466,621,1
CFSSBHW,113.400002,5.734,622,0.96
CFSSBHW,113.199997,5.992,622,0.921
CFSSBHW,113.5,5.687,621,0.968
CFSSBHW,114.900002,5.935,623,0.916
CFSSBHW,114.900002,5.82,623,0.934
CFSSBHW,114.699997,5.614,624,0.968
CFSSBHW,114.900002,5.669,624,0.958
CFSSBHW,115.5,5.871,623,0.919
CFSSBHW,114.5,5.763,624,0.947
CFSSBHW,114.199997,5.811,623,0.941
CFSSBHW,113.800003,5.852,623,0.939
CFSSBHW,113.699997,5.64,624,0.976
CFSSBHW,113.300003,5.698,623,0.97
CFSSBHW,113.5,6.311,623,0.87
CFSSBHW,114.099998,6.183,622,0.882
CFSSBHW,114.699997,6.061,623,0.896
CFSSBHW,115.400002,5.778,623,0.935
CFSSBHW,114.400002,5.875,622,0.927
CFSSBHW,114,5.708,621,0.957
CFSSBHW,113.699997,5.613,622,0.976
CFSSBHW,113.5,5.597,622,0.982
CFSSBHW,113.300003,5.654,622,0.973
CFSSBHW,113.800003,5.657,621,0.967
CFSSBHW,114.5,5.603,622,0.971
CFSSBHW,114.400002,5.94,623,0.92
CFSSBHW,114.699997,5.797,624,0.941
CFSSBHW,114.900002,5.788,623,0.937
CFSSBHW,115.599998,5.748,624,0.94
CFSSBHW,115.5,5.821,624,0.929
CFSSBHW,114.400002,5.966,623,0.913
CFSSBHW,114.099998,6.073,623,0.899
CFSSBHW,113.900002,6.112,623,0.894
CFSSBHW,114.199997,5.987,624,0.914
CFSSBHW,113.800003,6.161,625,0.891
CFSSBHW,113.699997,5.897,624,0.935
CFSSBHW,113.400002,5.621,623,0.98
CFSSBHW,114.099998,5.859,624,0.936
CFSSBHW,114.199997,5.839,624,0.938
CFSSBHW,114.300003,6.021,624,0.906
CFSSBHW,114.400002,6.003,623,0.908
CFSSBHW,114.199997,6.093,623,0.895
CFSSBHW,114.300003,5.802,624,0.943
CFSSBHW,114.300003,5.803,624,0.943
CFSSBHW,114.699997,5.93,623,0.916
CFSSBHW,115,5.928,623,0.914
CFSSBHW,115,5.929,622,0.912
CFSSBHW,114.400002,5.788,622,0.941
CFSSBHW,114.400002,5.77,621,0.943
CFSSBHW,114.300003,6.037,621,0.9
CFSSBHW,114.699997,5.716,622,0.949
CFSSBHW,115,5.684,622,0.952
CFSSBHW,115.199997,5.863,621,0.919
CFSSBHW,115.699997,5.847,622,0.92
CFSSBHW,116,5.822,623,0.923
CFSSBHW,116.099998,5.643,622,0.949
CFSSBHW,115.099998,5.816,621,0.93
CFSSBHW,115.199997,5.815,622,0.931
CFSSBHW,115.599998,5.63,622,0.956
CFSSBHW,115.699997,5.622,622,0.956
CFSSBHW,115.800003,5.63,622,0.954
CFSSBHW,115.599998,5.651,621,0.951
CFSSBHW,115.5,5.623,621,0.956
CFSSBHW,115.300003,5.659,624,0.956
CFSSBHW,114.699997,5.471,624,0.995
CFSSBHW,114.300003,5.651,623,0.967
CFSSBHW,113.900002,5.64,623,0.972
CFSSBHW,113.5,5.667,622,0.971
CFSSBHW,114.300003,5.469,622,0.995
CFSSBHW,114.300003,5.654,621,0.963
CFSSBHW,114.5,5.65,622,0.962
CFSSBHW,114.800003,5.889,623,0.922
CFSSBHW,114,5.959,622,0.919
CFSSBHW,114.5,5.851,622,0.931
CFSSBHW,115.400002,5.699,621,0.944
CFSSBHW,114.599998,5.466,621,0.991
CFSSBHW,113.900002,5.413,620,1
CFSSBHW,113.5,5.725,621,0.96
CFSSBHW,113.5,5.778,622,0.951
CFSSBHW,114.800003,5.671,622,0.956
CFSSBHW,115.099998,5.728,624,0.946
CFSSBHW,114.599998,5.94,624,0.918
CFSSBHW,115.199997,5.679,623,0.952
CFSSBHW,114.300003,5.771,623,0.947
CFSSBHW,114.199997,5.717,623,0.957
CFSSBHW,113.800003,5.464,622,1
CFSSBHW,114.199997,5.731,622,0.952
CFSSBHW,114.699997,5.89,622,0.921
CFSSBHW,114.5,5.685,623,0.959
CFSSBHW,114.699997,5.706,623,0.953
CFSSBHW,113.900002,5.893,623,0.933
CFSSBHW,113.5,5.956,625,0.929
CFSSBHW,114.300003,5.824,625,0.941
CFSSBHW,115.400002,5.717,625,0.948
CFSSBHW,114.599998,5.62,624,0.971
CFSSBHW,114.5,5.576,624,0.979
CFSSBHW,115.199997,5.68,624,0.955
CFSSBHW,115.400002,5.782,626,0.94
CFSSBHW,114.400002,5.719,626,0.961
CFSSBHW,114,5.773,626,0.954
CFSSBHW,113.199997,6.273,625,0.879
CFSSBHW,113.099998,6.308,624,0.873
CFSSBHW,114.400002,5.897,622,0.925
CFSSBHW,114.400002,5.896,623,0.926
CFSSBHW,114.199997,6.206,623,0.88
CFSSBHW,114.5,6.198,623,0.879
CFSSBHW,114.599998,6.09,623,0.893
CFSSBHW,114.800003,6.058,623,0.897
CFSSBHW,114.699997,6.139,623,0.884
CFSSBHW,115.099998,6.025,625,0.9
CFSSBHW,115.599998,5.894,624,0.915
CFSSBHW,114.599998,5.631,622,0.964
CFSSBHW,113.900002,5.778,624,0.951
CFSSBHW,114,5.544,625,0.988
CFSSBHW,114.300003,5.623,624,0.971
CFSSBHW,114.099998,5.6,623,0.976
CFSSBHW,113.099998,5.417,623,1
CFSSBHW,113.099998,5.409,624,1
CFSSBHW,113.699997,5.685,623,0.968
CFSSBHW,114.099998,5.758,623,0.952
CFSSBHW,113.900002,5.477,624,1
CFSSBHW,114,5.646,623,0.972
CFSSBHW,114,5.942,623,0.923
CFSSBHW,114.5,5.636,624,0.968
CFSSBHW,114.699997,5.642,624,0.965
CFSSBHW,115.099998,5.444,624,0.996
CFSSBHW,115.300003,5.455,624,0.993
CFSSBHW,115.800003,5.5,625,0.98
CFSSBHW,115.800003,5.596,625,0.965
CFSSBHW,115.099998,5.61,627,0.971
CFSSBHW,115.5,5.607,628,0.971
CFSSBHW,115.800003,5.878,628,0.923
CFSSBHW,115.099998,5.761,628,0.948
CFSSBHW,114.699997,5.848,627,0.938
CFSSBHW,114.599998,6.059,625,0.901
CFSSBHW,114.400002,6.116,625,0.895
CFSSBHW,113.800003,6.342,626,0.867
CFSSBHW,113.800003,6.341,627,0.868
CFSSBHW,113.699997,6.004,626,0.922
CFSSBHW,114.699997,5.779,626,0.948
CFSSBHW,115.400002,5.723,627,0.952
CFSSBHW,115.5,5.948,627,0.913
CFSSBHW,115.300003,5.903,628,0.922
CFSSBHW,115.5,5.762,628,0.944
CFSSBHW,115.599998,5.665,627,0.958
CFSSBHW,114.699997,5.573,626,0.979
CFSSBHW,115,5.652,628,0.966
CFSSBHW,114.900002,5.644,628,0.969
CFSSBHW,114.699997,5.786,627,0.946
CFSSBHW,114.400002,5.719,627,0.961
CFSSBHW,115.300003,5.58,627,0.974
CFSSBHW,115,5.874,625,0.927
CFSSBHW,114.900002,5.919,625,0.919
CFSSBHW,114.699997,6.018,625,0.906
CFSSBHW,115.199997,5.971,625,0.909
CFSSBHW,114.900002,6.085,625,0.895
CFSSBHW,114.099998,6.162,623,0.886
CFSSBHW,113.900002,6.133,623,0.892
CFSSBHW,114,6.137,624,0.893
CFSSBHW,114.099998,5.92,625,0.927
CFSSBHW,114.400002,5.694,623,0.958
CFSSBHW,114.599998,5.855,622,0.928
CFSSBHW,114,5.846,622,0.936
CFSSBHW,113.599998,5.667,623,0.97
CFSSBHW,114.400002,5.674,623,0.96
CFSSBHW,114.199997,5.646,621,0.964
CFSSBHW,114.300003,5.539,621,0.982
CFSSBHW,114.900002,5.79,623,0.938
CFSSBHW,114.400002,5.763,623,0.948
CFSSBHW,116.300003,4.337,460,0.928
CFSSBHW,115.199997,5.782,626,0.942
CFSSBHW,114.800003,5.727,624,0.952
CFSSBHW,114.199997,5.913,624,0.928
CFSSBHW,113.5,5.699,624,0.969
CFSSBHW,113.400002,5.701,625,0.971
CFSSBHW,114.199997,5.748,625,0.957
CFSSBHW,113.699997,5.762,625,0.957
CFSSBHW,114.599998,5.71,626,0.958
CFSSBHW,115,5.762,626,0.947
CFSSBHW,114.5,5.622,625,0.972
CFSSBHW,114.699997,5.702,624,0.956
CFSSBHW,115.199997,5.794,624,0.937
CFSSBHW,114.900002,5.983,625,0.911
CFSSBHW,114.800003,5.799,625,0.942
CFSSBHW,114.900002,5.928,625,0.92
CFSSBHW,114.400002,6.15,625,0.889
CFSSBHW,114.5,6.125,626,0.893
CFSSBHW,115.400002,5.947,625,0.912
CFSSBHW,114.800003,5.799,623,0.939
CFSSBHW,113.400002,6.003,624,0.92
CFSSBHW,113.5,6.088,625,0.905
CFSSBHW,115,5.917,624,0.918
CFSSBHW,114.800003,6.132,624,0.887
CFSSBHW,113.599998,5.977,624,0.923
CFSSBHW,113.900002,5.876,624,0.935
CFSSBHW,114.699997,5.719,624,0.954
CFSSBHW,115.199997,5.585,624,0.971
CFSSBHW,115.400002,5.637,624,0.96
CFSSBHW,115.099998,5.589,625,0.971
CFSSBHW,115.400002,5.469,625,0.99
